device_name,command,snapshot_id,created_at
R4,show ipv6 interface brief,2026-03-04_1109,2026-03-05T19:22:21.323077
R4,show ipv6 interface brief,2026-03-02_1652,2026-03-05T19:22:21.323077
R4,show ipv6 interface brief,2026-03-02_1829,2026-03-05T19:22:21.323077
R4,show ip ospf interface brief,2026-03-02_1810,2026-03-05T19:22:21.323077
R4,show ip ospf interface brief,2026-03-02_2127,2026-03-05T19:22:21.323077
R4,show ip interface brief,2026-03-02_1810,2026-03-05T19:22:21.323077
R4,show ipv6 interface brief,2026-03-03_1944,2026-03-05T19:22:21.323077
R4,show ipv6 interface brief,2026-03-03_1951,2026-03-05T19:22:21.323077
R4,show ip interface brief,2026-03-05_1627,2026-03-05T19:22:21.323077
R4,show ip ospf interface brief,2026-03-05_1627,2026-03-05T19:22:21.323077
R4,show ip ospf interface brief,2026-03-04_1109,2026-03-05T19:22:21.323077
R4,show ipv6 interface brief,2026-03-05_1918,2026-03-05T19:22:21.323077
R4,show ip interface brief,2026-03-02_2133,2026-03-05T19:22:21.323077
R4,show ip interface brief,2026-03-02_1829,2026-03-05T19:22:21.323077
R4,show ip ospf interface brief,2026-03-04_1124,2026-03-05T19:22:21.323077
R4,show ip interface brief,2026-03-05_1559,2026-03-05T19:22:21.323077
R4,show ip ospf interface brief,2026-03-02_2038,2026-03-05T19:22:21.323077
R4,show ip interface brief,2026-03-03_1940,2026-03-05T19:22:21.323077
R4,show ipv6 interface brief,2026-03-04_1115,2026-03-05T19:22:21.323077
R4,show ip interface brief,2026-03-02_2038,2026-03-05T19:22:21.323077
R4,show ip ospf interface brief,2026-03-02_2133,2026-03-05T19:22:21.323077
R4,show ip ospf interface brief,2026-03-03_1940,2026-03-05T19:22:21.323077
R4,show ip ospf interface brief,2026-03-03_1944,2026-03-05T19:22:21.323077
R4,show ip interface brief,2026-03-03_1951,2026-03-05T19:22:21.323077
R4,show ipv6 interface brief,2026-03-03_1746,2026-03-05T19:22:21.323077
R4,show ip ospf interface brief,2026-03-02_2246,2026-03-05T19:22:21.323077
R4,show ipv6 interface brief,2026-03-05_1627,2026-03-05T19:22:21.323077
R4,show ipv6 interface brief,2026-03-03_1751,2026-03-05T19:22:21.323077
R4,show ip ospf interface brief,2026-03-05_1615,2026-03-05T19:22:21.323077
R4,show ip ospf interface brief,2026-03-03_2009,2026-03-05T19:22:21.323077
R4,show ip interface brief,2026-03-05_1615,2026-03-05T19:22:21.323077
R4,show ipv6 interface brief,2026-03-03_1754,2026-03-05T19:22:21.323077
R4,show ipv6 interface brief,2026-03-02_2127,2026-03-05T19:22:21.323077
R4,show ip ospf interface brief,2026-03-02_1717,2026-03-05T19:22:21.323077
R4,show ip ospf interface brief,2026-03-02_2110,2026-03-05T19:22:21.323077
R4,show ip interface brief,2026-03-05_1918,2026-03-05T19:22:21.323077
R4,show ip ospf interface brief,2026-03-03_1951,2026-03-05T19:22:21.323077
R4,show ip interface brief,2026-03-02_1717,2026-03-05T19:22:21.323077
R4,show ip interface brief,2026-03-02_2110,2026-03-05T19:22:21.323077
R4,show ip ospf interface brief,2026-03-05_1918,2026-03-05T19:22:21.323077
R4,show ip interface brief,2026-03-04_1109,2026-03-05T19:22:21.323077
R4,show ip ospf interface brief,2026-03-02_1829,2026-03-05T19:22:21.323077
R4,show ipv6 interface brief,2026-03-02_1810,2026-03-05T19:22:21.323077
R4,show ip interface brief,2026-03-03_1944,2026-03-05T19:22:21.323077
R4,show ip interface brief,2026-03-04_1115,2026-03-05T19:22:21.323077
R4,show ipv6 interface brief,2026-03-04_1124,2026-03-05T19:22:21.323077
R4,show ip interface brief,2026-03-02_1652,2026-03-05T19:22:21.323077
R4,show ipv6 interface brief,2026-03-02_2038,2026-03-05T19:22:21.323077
R4,show ip ospf interface brief,2026-03-04_1115,2026-03-05T19:22:21.323077
R4,show ipv6 interface brief,2026-03-02_2133,2026-03-05T19:22:21.323077
R4,show ip interface brief,2026-03-03_1754,2026-03-05T19:22:21.323077
R4,show ipv6 interface brief,2026-03-03_1940,2026-03-05T19:22:21.323077
R4,show ip ospf interface brief,2026-03-03_1746,2026-03-05T19:22:21.323077
R4,show ip ospf interface brief,2026-03-03_1754,2026-03-05T19:22:21.323077
R4,show ipv6 interface brief,2026-03-02_2246,2026-03-05T19:22:21.323077
R4,show ip ospf interface brief,2026-03-03_1751,2026-03-05T19:22:21.323077
R4,show ipv6 interface brief,2026-03-05_1615,2026-03-05T19:22:21.323077
R4,show ipv6 interface brief,2026-03-03_2009,2026-03-05T19:22:21.323077
R4,show ip interface brief,2026-03-02_2127,2026-03-05T19:22:21.323077
R4,show ipv6 interface brief,2026-03-02_1717,2026-03-05T19:22:21.323077
R4,show ipv6 interface brief,2026-03-02_2110,2026-03-05T19:22:21.323077
R4,show ip interface brief,2026-03-04_1124,2026-03-05T19:22:21.323077
R4,show ip ospf interface brief,2026-03-05_1559,2026-03-05T19:22:21.323077
SW1,show ip interface brief,2026-03-06_0246,2026-03-06T02:49:40.228626
SW1,show ipv6 interface brief,2026-03-06_0246,2026-03-06T02:49:40.228626
SW1,show ip interface brief,2026-03-04_1109,2026-03-05T19:22:21.323077
SW1,show ipv6 interface brief,2026-03-02_1829,2026-03-05T19:22:21.323077
SW1,show ipv6 interface brief,2026-03-04_1109,2026-03-05T19:22:21.323077
SW1,show ipv6 interface brief,2026-03-03_1944,2026-03-05T19:22:21.323077
SW1,show ipv6 interface brief,2026-03-02_1717,2026-03-05T19:22:21.323077
SW1,show ip interface brief,2026-03-02_1829,2026-03-05T19:22:21.323077
SW1,show ipv6 interface brief,2026-03-02_2038,2026-03-05T19:22:21.323077
SW1,show ipv6 interface brief,2026-03-05_1615,2026-03-05T19:22:21.323077
SW1,show ip interface brief,2026-03-02_2246,2026-03-05T19:22:21.323077
SW1,show ip interface brief,2026-03-03_2009,2026-03-05T19:22:21.323077
SW1,show ip interface brief,2026-03-03_1951,2026-03-05T19:22:21.323077
SW1,show ip interface brief,2026-03-02_1810,2026-03-05T19:22:21.323077
SW1,show ip interface brief,2026-03-03_1944,2026-03-05T19:22:21.323077
SW1,show ipv6 interface brief,2026-03-02_1652,2026-03-05T19:22:21.323077
SW1,show ip interface brief,2026-03-02_2038,2026-03-05T19:22:21.323077
SW1,show ip interface brief,2026-03-03_1754,2026-03-05T19:22:21.323077
SW1,show ipv6 interface brief,2026-03-03_1754,2026-03-05T19:22:21.323077
SW1,show ipv6 interface brief,2026-03-05_1559,2026-03-05T19:22:21.323077
SW1,show ip interface brief,2026-03-03_1751,2026-03-05T19:22:21.323077
SW1,show ip interface brief,2026-03-04_1115,2026-03-05T19:22:21.323077
SW1,show ip interface brief,2026-03-03_1746,2026-03-05T19:22:21.323077
SW1,show ip interface brief,2026-03-02_1652,2026-03-05T19:22:21.323077
SW1,show ip interface brief,2026-03-03_1940,2026-03-05T19:22:21.323077
SW1,show ipv6 interface brief,2026-03-02_2110,2026-03-05T19:22:21.323077
SW1,show ipv6 interface brief,2026-03-02_1810,2026-03-05T19:22:21.323077
SW1,show ip interface brief,2026-03-05_1627,2026-03-05T19:22:21.323077
SW1,show ip interface brief,2026-03-02_2133,2026-03-05T19:22:21.323077
SW1,show ipv6 interface brief,2026-03-02_2127,2026-03-05T19:22:21.323077
SW1,show ipv6 interface brief,2026-03-05_1918,2026-03-05T19:22:21.323077
SW1,show ip interface brief,2026-03-04_1124,2026-03-05T19:22:21.323077
SW1,show ip interface brief,2026-03-02_2127,2026-03-05T19:22:21.323077
SW1,show ipv6 interface brief,2026-03-05_1627,2026-03-05T19:22:21.323077
SW1,show ip interface brief,2026-03-02_1717,2026-03-05T19:22:21.323077
SW1,show ipv6 interface brief,2026-03-03_1746,2026-03-05T19:22:21.323077
SW1,show ipv6 interface brief,2026-03-04_1115,2026-03-05T19:22:21.323077
SW1,show ipv6 interface brief,2026-03-04_1124,2026-03-05T19:22:21.323077
SW1,show ip interface brief,2026-03-05_1918,2026-03-05T19:22:21.323077
SW1,show ipv6 interface brief,2026-03-03_1751,2026-03-05T19:22:21.323077
SW1,show ip interface brief,2026-03-02_2110,2026-03-05T19:22:21.323077
SW1,show ipv6 interface brief,2026-03-03_1940,2026-03-05T19:22:21.323077
SW1,show ip interface brief,2026-03-05_1559,2026-03-05T19:22:21.323077
SW1,show ipv6 interface brief,2026-03-03_1951,2026-03-05T19:22:21.323077
SW1,show ipv6 interface brief,2026-03-03_2009,2026-03-05T19:22:21.323077
SW1,show ipv6 interface brief,2026-03-02_2246,2026-03-05T19:22:21.323077
SW1,show ipv6 interface brief,2026-03-02_2133,2026-03-05T19:22:21.323077
SW1,show ip interface brief,2026-03-05_1615,2026-03-05T19:22:21.323077
SW2,show ip interface brief,2026-03-06_0246,2026-03-06T02:49:40.228626
SW2,show ipv6 interface brief,2026-03-06_0246,2026-03-06T02:49:40.228626
SW2,show ipv6 interface brief,2026-03-02_2246,2026-03-05T19:22:21.323077
SW2,show ipv6 interface brief,2026-03-05_1627,2026-03-05T19:22:21.323077
SW2,show ipv6 interface brief,2026-03-03_1754,2026-03-05T19:22:21.323077
SW2,show ip interface brief,2026-03-02_1652,2026-03-05T19:22:21.323077
SW2,show ip interface brief,2026-03-03_1746,2026-03-05T19:22:21.323077
SW2,show ipv6 interface brief,2026-03-03_1746,2026-03-05T19:22:21.323077
SW2,show ip interface brief,2026-03-03_1951,2026-03-05T19:22:21.323077
SW2,show ipv6 interface brief,2026-03-03_1951,2026-03-05T19:22:21.323077
SW2,show ip interface brief,2026-03-02_1810,2026-03-05T19:22:21.323077
SW2,show ipv6 interface brief,2026-03-02_1717,2026-03-05T19:22:21.323077
SW2,show ipv6 interface brief,2026-03-03_1751,2026-03-05T19:22:21.323077
SW2,show ip interface brief,2026-03-03_1751,2026-03-05T19:22:21.323077
SW2,show ip interface brief,2026-03-02_1717,2026-03-05T19:22:21.323077
SW2,show ipv6 interface brief,2026-03-05_1559,2026-03-05T19:22:21.323077
SW2,show ipv6 interface brief,2026-03-04_1115,2026-03-05T19:22:21.323077
SW2,show ip interface brief,2026-03-05_1918,2026-03-05T19:22:21.323077
SW2,show ipv6 interface brief,2026-03-05_1918,2026-03-05T19:22:21.323077
SW2,show ip interface brief,2026-03-03_1940,2026-03-05T19:22:21.323077
SW2,show ipv6 interface brief,2026-03-03_1940,2026-03-05T19:22:21.323077
SW2,show ip interface brief,2026-03-04_1115,2026-03-05T19:22:21.323077
SW2,show ip interface brief,2026-03-05_1559,2026-03-05T19:22:21.323077
SW2,show ipv6 interface brief,2026-03-02_2110,2026-03-05T19:22:21.323077
SW2,show ip interface brief,2026-03-05_1627,2026-03-05T19:22:21.323077
SW2,show ip interface brief,2026-03-02_2110,2026-03-05T19:22:21.323077
SW2,show ip interface brief,2026-03-03_1944,2026-03-05T19:22:21.323077
SW2,show ipv6 interface brief,2026-03-03_1944,2026-03-05T19:22:21.323077
SW2,show ipv6 interface brief,2026-03-03_2009,2026-03-05T19:22:21.323077
SW2,show ip interface brief,2026-03-03_2009,2026-03-05T19:22:21.323077
SW2,show ipv6 interface brief,2026-03-02_1810,2026-03-05T19:22:21.323077
SW2,show ip interface brief,2026-03-02_2246,2026-03-05T19:22:21.323077
SW2,show ipv6 interface brief,2026-03-05_1615,2026-03-05T19:22:21.323077
SW2,show ip interface brief,2026-03-05_1615,2026-03-05T19:22:21.323077
SW2,show ipv6 interface brief,2026-03-02_1829,2026-03-05T19:22:21.323077
SW2,show ip interface brief,2026-03-04_1124,2026-03-05T19:22:21.323077
SW2,show ip interface brief,2026-03-04_1109,2026-03-05T19:22:21.323077
SW2,show ipv6 interface brief,2026-03-04_1109,2026-03-05T19:22:21.323077
SW2,show ipv6 interface brief,2026-03-04_1124,2026-03-05T19:22:21.323077
SW2,show ip interface brief,2026-03-02_2127,2026-03-05T19:22:21.323077
SW2,show ipv6 interface brief,2026-03-02_2127,2026-03-05T19:22:21.323077
SW2,show ip interface brief,2026-03-02_1829,2026-03-05T19:22:21.323077
SW2,show ipv6 interface brief,2026-03-02_2038,2026-03-05T19:22:21.323077
SW2,show ip interface brief,2026-03-02_2038,2026-03-05T19:22:21.323077
SW2,show ipv6 interface brief,2026-03-02_2133,2026-03-05T19:22:21.323077
SW2,show ip interface brief,2026-03-02_2133,2026-03-05T19:22:21.323077
SW2,show ip interface brief,2026-03-03_1754,2026-03-05T19:22:21.323077
SW2,show ipv6 interface brief,2026-03-02_1652,2026-03-05T19:22:21.323077
