device_name,command,snapshot_id
R1,show configuration,2026-03-02_1717
R1,show configuration,2026-03-02_1652
R2,show configuration,2026-03-02_1829
R1,show configuration,2026-03-02_2110
R2,show configuration,2026-03-02_2038
R2,show configuration,2026-03-02_2110
R1,show configuration,2026-03-02_2038
R2,show configuration,2026-03-02_1652
R2,show configuration,2026-03-02_2127
R1,show configuration,2026-03-02_2127
R1,show configuration,2026-03-02_1829
R2,show configuration,2026-03-02_1810
R2,show configuration,2026-03-02_1717
R1,show configuration,2026-03-02_2246
R1,show configuration,2026-03-02_2133
R2,show configuration,2026-03-02_2246
R2,show configuration,2026-03-02_2133
R1,show configuration,2026-03-02_1810
R1,show interfaces,2026-03-03_1951
R1,show interfaces,2026-03-03_1940
R1,show interfaces,2026-03-03_2009
R1,show interfaces,2026-03-03_1754
R2,show interfaces,2026-03-03_1754
R2,show interfaces,2026-03-02_2133
R2,show interfaces,2026-03-02_2246
R2,show interfaces,2026-03-03_1951
R1,show interfaces,2026-03-02_2127
R2,show interfaces,2026-03-02_2127
R2,show interfaces,2026-03-03_2009
R2,show interfaces,2026-03-03_1940
R1,show interfaces,2026-03-02_2133
R1,show interfaces,2026-03-03_1944
R2,show interfaces,2026-03-03_1944
R1,show interfaces,2026-03-03_1746
R2,show interfaces,2026-03-03_1751
R2,show interfaces,2026-03-03_1746
R1,show interfaces,2026-03-03_1751
R1,show interfaces,2026-03-02_2246
R2,show system configuration database usage,2026-03-02_2110
R1,show system configuration database usage,2026-03-03_2009
R2,show system configuration database usage,2026-03-03_1751
R2,show system configuration database usage,2026-03-02_1652
R2,show system configuration database usage,2026-03-06_0931
R2,show system configuration database usage,2026-03-03_1944
R2,show system configuration database usage,2026-03-02_2038
R1,show system configuration database usage,2026-03-04_1115
R1,show system configuration database usage,2026-03-05_1918
R1,show system configuration database usage,2026-03-03_1754
R2,show system configuration database usage,2026-03-02_1829
R1,show system configuration database usage,2026-03-05_1627
R1,show system configuration database usage,2026-03-16_1414
R1,show system configuration database usage,2026-03-04_1109
R2,show system configuration database usage,2026-03-05_1559
R2,show system configuration database usage,2026-03-03_1746
R2,show system configuration database usage,2026-03-02_1810
R1,show system configuration database usage,2026-03-02_2127
R1,show system configuration database usage,2026-03-04_1124
R2,show system configuration database usage,2026-03-16_1440
R1,show system configuration database usage,2026-03-05_1559
R1,show system configuration database usage,2026-03-03_1940
R2,show system configuration database usage,2026-03-04_1124
R1,show system configuration database usage,2026-03-02_2246
R1,show system configuration database usage,2026-03-02_2133
R2,show system configuration database usage,2026-03-03_2009
R2,show system configuration database usage,2026-03-02_2127
R1,show system configuration database usage,2026-03-02_1717
R1,show system configuration database usage,2026-03-05_1615
R2,show system configuration database usage,2026-03-03_1951
R2,show system configuration database usage,2026-03-16_1414
R1,show system configuration database usage,2026-03-16_1440
R1,show system configuration database usage,2026-03-03_1751
R1,show system configuration database usage,2026-03-02_2038
R2,show system configuration database usage,2026-03-06_0246
R1,show system configuration database usage,2026-03-06_0931
R1,show system configuration database usage,2026-03-02_1652
R2,show system configuration database usage,2026-03-04_1115
R2,show system configuration database usage,2026-03-04_1109
R1,show system configuration database usage,2026-03-03_1944
R1,show system configuration database usage,2026-03-02_2110
R2,show system configuration database usage,2026-03-05_1918
R1,show system configuration database usage,2026-03-03_1746
R1,show system configuration database usage,2026-03-02_1829
R2,show system configuration database usage,2026-03-03_1754
R2,show system configuration database usage,2026-03-03_1940
R1,show system configuration database usage,2026-03-02_1810
R2,show system configuration database usage,2026-03-05_1627
R2,show system configuration database usage,2026-03-02_2133
R2,show system configuration database usage,2026-03-02_2246
R1,show system configuration database usage,2026-03-03_1951
R2,show system configuration database usage,2026-03-05_1615
R2,show system configuration database usage,2026-03-02_1717
R1,show system configuration database usage,2026-03-06_0246
